GCCode  state    Latitude   Longtitude  FP Name
GC17JBE NotFound 50°32.083N 015°16.492E 14 Rovenská
GC19VK6 NotFound 50°36.475N 014°33.882E 4 Rozec
GC210GB NotFound 50°39.594N 015°23.630E 21 Rozhledna_U_Borovice
GC2P455 NotFound 50°43.457N 015°09.361E 11 rychla_smrt
GC2W5EW NotFound 50°43.089N 015°04.323E 29 RYCHLOSTNICE_PRAHA_–_LIBEREC_(NIGHT EDITION)
GC18B42 NotFound 50°43.019N 015°14.365E 14 Sankarska_draha_/_luge´s_track_Smrzovka
GC19EPA NotFound 50°38.916N 015°15.562E 32 Sibenicni_vrch/Gallows_hill
GC1T9V1 NotFound 50°40.447N 015°08.862E 44 Sifrovaci_hricky_II.
GC2HV72 NotFound 50°42.536N 015°09.579E 45 Silvestrovska
GC286RN NotFound 50°54.200N 015°12.644E 74 Singltrek_II.
GC2XAXX NotFound 50°40.902N 014°31.637E 65 Sipkova
GC1JPF2 NotFound 50°35.505N 014°51.144E 21 Skalni_hradek_Slapka
GC1W28W NotFound 50°46.039N 015°25.938E 35 Skoky_na_lyzich_/_Ski_jumping
GCYGTW NotFound 50°44.810N 015°06.069E 84 Slunicko_-_Vratislavice
GC24X5J NotFound 50°41.523N 014°53.538E 35 SMENARNA_-_EXCHANGE_–_CWG
GC238E7 NotFound 50°45.579N 015°03.457E 74 Smrt
GC1908M NotFound 50°46.279N 015°04.132E 31 Snad_temna_naruc_pekla?
GC269PJ NotFound 50°40.813N 015°24.431E 0 Snehurka
GC1QC8F NotFound 50°37.318N 015°08.616E 21 Sneni_/_Dreamery 
GC2CF0P NotFound 50°32.371N 014°42.620E 1 Snilek
GC21MX7 NotFound 50°46.172N 015°03.308E 3 Sokolovsky_tunel
GC18QW6 NotFound 50°36.849N 014°32.579E 3 Soudce_a_zlocinec
GC2ADT8 NotFound 50°45.021N 015°11.107E 44 Spadla_z_oblakov
GC14JP3 NotFound 50°47.433N 014°58.450E 88 Srdce
GC2GPGW NotFound 50°47.111N 015°12.534E 45 Srdickova
GC1HZ5N NotFound 50°42.986N 015°08.931E 99 Srnci_dul
GC2E8RC NotFound 50°49.607N 015°04.286E 154 STAND_UP
GC11GNW NotFound 50°37.426N 015°26.495E 14 Starousek
GCWGDT NotFound 50°34.145N 014°35.302E 32 Starý_Berštejn_/_Old_Berstein
GC26JX2 NotFound 50°41.596N 014°32.420E 45 Straznik
